Config	det1	det2	z1	z2
1	3	5	0.65	0.75
2	3	6	0.65	0.8
3	3	7	0.65	0.85
4	3	8	0.65	0.9
5	3	9	0.65	0.95
6	3	10	0.65	1
7	3	11	0.65	1.05
8	4	5	0.7	0.75
9	4	6	0.7	0.8
10	4	7	0.7	0.85
11	4	8	0.7	0.9
12	4	9	0.7	0.95
13	4	10	0.7	1
14	4	11	0.7	1.05
15	5	6	0.75	0.8
16	5	7	0.75	0.85
17	5	8	0.75	0.9
18	5	9	0.75	0.95
19	5	10	0.75	1
20	5	11	0.75	1.05
21	6	5	0.8	0.75
22	6	7	0.8	0.85
23	6	8	0.8	0.9
24	6	9	0.8	0.95
25	6	10	0.8	1
26	6	11	0.8	1.05
27	7	5	0.85	0.75
28	7	6	0.85	0.8
29	7	8	0.85	0.9
30	7	9	0.85	0.95
31	7	10	0.85	1
32	7	11	0.85	1.05
33	8	5	0.9	0.75
34	8	6	0.9	0.8
35	8	7	0.9	0.85
36	8	9	0.9	0.95
37	8	10	0.9	1
38	9	11	0.95	1.05
39	9	5	0.95	0.75
40	9	6	0.95	0.8
41	9	7	0.95	0.85
42	9	8	0.95	0.9
43	9	10	0.95	1
44	9	11	0.95	1.05
45	10	5	1	0.75
46	10	6	1	0.8
47	10	7	1	0.85
48	10	8	1	0.9
49	10	9	1	0.95
50	10	11	1	1.05
